millis,sync4_train_start,bnc_interval_ms,sync4_interval_ms,,,,,
2756347.63,31:41.9,68.05,68,0.05,,,,
2757003.55,31:42.6,655.92,656,-0.08,,,,
2786023.99,32:11.6,29020.44,29020,0.44,,,,
2786090.85,32:11.7,66.86,67,-0.14,,,,
3049395.25,36:35.0,263304.4,263305,-0.6,,,,
3049462.12,36:35.1,66.87,67,-0.13,,,,
3052297.32,36:37.9,2835.2,2835,0.2,,,,
3052364.17,36:38.0,66.85,67,-0.15,,,,
3052525.27,36:38.1,161.1,161,0.1,,,,
3052592.14,36:38.2,66.87,67,-0.13,,,,
3053517.09,36:39.1,924.95,925,-0.05,,,,
3053583.95,36:39.2,66.86,67,-0.14,,,,
3059147.12,36:44.7,5563.17,5563,0.17,,,,
3060303.82,36:45.9,1156.7,1157,-0.3,,,,
3060371.87,36:46.0,68.05,68,0.05,,,,
3061114.12,36:46.7,742.25,742,0.25,,,,
3061177.14,36:46.8,63.02,63,0.02,,,,
3061245.2,36:46.8,68.06,68,0.06,,,,
3186703.43,38:52.3,125458.23,125458,0.23,,,,
3212595.71,39:18.2,25892.28,25893,-0.72,,,,
3212662.57,39:18.3,66.86,66,0.86,,,,
3226222.84,39:31.8,13560.27,13561,-0.73,,,,
3226289.7,39:31.9,66.86,67,-0.14,,,,
3227233.81,39:32.8,944.11,944,0.11,,,,
3227300.67,39:32.9,66.86,67,-0.14,,,,
3227388.23,39:33.0,87.56,87,0.56,,,,
3228181.97,39:33.8,793.74,794,-0.26,,,,
3228248.84,39:33.8,66.87,67,-0.13,,,,
3228545.05,39:34.1,296.21,296,0.21,,,,
3228611.91,39:34.2,66.86,67,-0.14,,,,
3228683.18,39:34.3,71.27,71,0.27,,,,
3229051.84,39:34.6,368.66,369,-0.34,,,,
3229118.71,39:34.7,66.87,67,-0.13,,,,
3229279.79,39:34.9,161.08,161,0.08,,,,
3229346.64,39:34.9,66.85,67,-0.15,,,,
3229423.06,39:35.0,76.42,76,0.42,,,,
3229668.21,39:35.3,245.15,245,0.15,,,,
3229735.07,39:35.3,66.86,67,-0.14,,,,
3229937.04,39:35.5,201.97,202,-0.03,,,,
3230003.89,39:35.6,66.85,67,-0.15,,,,
3230167.32,39:35.8,163.43,163,0.43,,,,
3230234.18,39:35.8,66.86,67,-0.14,,,,
3230309.65,39:35.9,75.47,76,-0.53,,,,
3230831.41,39:36.4,521.76,521,0.76,,,,
3230898.28,39:36.5,66.87,67,-0.13,,,,
3231352.44,39:36.9,454.16,454,0.16,,,,
3231419.29,39:37.0,66.85,67,-0.15,,,,
3240110.94,39:45.7,8691.65,8692,-0.35,,,,
3240177.81,39:45.8,66.87,67,-0.13,,,,
3241304.73,39:46.9,1126.92,1127,-0.08,,,,
3241371.6,39:47.0,66.87,67,-0.13,,,,
3260258.08,40:05.9,18886.48,18886,0.48,,,,
3260325.87,40:05.9,67.79,68,-0.21,,,,
3264109.32,40:09.7,3783.45,3783,0.45,,,,
3264177.1,40:09.8,67.78,68,-0.22,,,,
3264270.56,40:09.9,93.46,94,-0.54,,,,
3264458.17,40:10.1,187.61,187,0.61,,,,
3264525.95,40:10.1,67.78,68,-0.22,,,,
3286006.24,40:31.6,21480.29,21480,0.29,,,,
3286074.02,40:31.7,67.78,68,-0.22,,,,
